Text Date,Value Date,Zip Code,Water Use,Power Use
Jun_2013,Jun-13,"90042
(34.11332407100048, -118.19142869099971)",10.55,367
Jun_2013,Jun-13,"90040
(33.99649121800047, -118.15148940099971)",0,326
Jun_2013,Jun-13,"90007
(34.02833141800045, -118.28507659499968)",11.87,247
Jun_2013,Jun-13,"90028
(34.10072355400047, -118.32821815499972)",10.69,291
Jun_2013,Jun-13,"90056
(33.98651074000048, -118.36959998699967)",15.76,413
Jun_2013,Jun-13,"90044
(33.95386236800044, -118.2919460489997)",10.97,300
Jun_2013,Jun-13,"90248
(33.87544370900048, -118.28237834699968)",12.04,394
Jun_2013,Jun-13,"90059
(33.927010235000466, -118.24839605799968)",11.65,323
Jun_2013,Jun-13,"90291
(33.99258071300045, -118.4663762939997)",9.45,325
Jun_2013,Jun-13,"90071
(34.051942178000445, -118.25408801599968)",0,0
Jun_2013,Jun-13,"90043
(33.98673233600044, -118.33290641599967)",10.74,319
Jun_2013,Jun-13,"90211
(34.065663706000464, -118.38146619699972)",0,0
Jun_2013,Jun-13,"91423
(34.15306349100047, -118.43295885699968)",24.66,671
Jun_2013,Jun-13,"90212
(34.063843148000444, -118.40025834499971)",88.17,613
Jun_2013,Jun-13,"90213
(34.073280500000465, -118.3935974529997)",0,0
Jun_2013,Jun-13,"90020
(34.06636325100044, -118.30164844599972)",43.19,309
Jun_2013,Jun-13,"90057
(34.06211383600049, -118.27713826999968)",9.48,226
Jun_2013,Jun-13,"90025
(34.04518134900047, -118.45025632399972)",12.4,319
Jun_2013,Jun-13,"91436
(34.15384124700046, -118.4873366009997)",38.89,1309
Jun_2013,Jun-13,"90033
(34.04856176400045, -118.2115199969997)",10.01,261
Jun_2013,Jun-13,"90015
(34.04012376300045, -118.26498963499972)",10.45,253
Jun_2013,Jun-13,"90046
(34.097151960000474, -118.35826821299969)",20.38,525
Jun_2013,Jun-13,"90232
(34.019702237000445, -118.39595678999967)",6.64,225
Jun_2013,Jun-13,"90027
(34.10546395500046, -118.2923675139997)",19.81,365
Jun_2013,Jun-13,"90024
(34.06136215000049, -118.4402367409997)",32.89,491
