Zip,Total.Population,Median_Household_income,Water.Use,Power.Use,place_geoid,Median.Age,Average.Household.Size,Mean_income,City
90001,57110,"$33,887 ",15.08,318,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.03,352,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.53,310,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",10.58,315,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",18.7,367,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.81,300,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",10.4,334,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",19.07,328,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",19.43,378,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",21.66,312,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",8.14,340,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",16.34,312,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",17.53,326,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",13.56,294,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",16.55,328,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.65,353,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",12.37,339,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.42,382,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",18.8,345,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",9.44,332,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",19.3,381,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",17.05,362,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",19.63,316,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",11.77,360,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",16.56,311,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",18.79,325,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",15.29,307,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",14.07,305,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",20.49,312,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
90001,57110,"$33,887 ",17,353,16000US0644000,26.6,4.4,"$42,625 ",Los Angeles
